freq : 83.33 MHz
SWR : 1.965000
Theta     Phi     Gain(dB)     Gain     Phase(deg)
75        270        -0.8873      -125.5908      9.1878      
75        285        -0.8854      -125.5863      -92.6707      
75        300        -0.8819      -125.5776      -85.0223      
75        315        -0.8808      -125.5738      31.1785      
75        330        -0.884      -125.5796      64.4943      
75        345        -0.889      -125.5898      67.7427      
75        360        -0.8915      -125.5948      11.8089      
90        0        -0.6137      -125.5348      11.5603      
90        15        -0.6113      -125.5299      13.5239      
90        30        -0.6062      -125.5198      16.9769      
90        45        -0.603      -125.5142      24.2346      
90        60        -0.6042      -125.5177      45.6137      
90        75        -0.6077      -125.5262      111.6306      
90        90        -0.6096      -125.5306      149.6294      
90        105        -0.6077      -125.5262      159.6829      
90        120        -0.6042      -125.5177      163.0683      
90        135        -0.603      -125.5142      164.1417      
90        150        -0.6062      -125.5198      163.8576      
90        165        -0.6113      -125.5299      161.8815      
90        180        -0.6137      -125.5348      156.3866      
90        195        -0.6113      -125.5299      139.9414      
90        210        -0.6062      -125.5198      80.9848      
90        225        -0.603      -125.5142      30.2086      
90        240        -0.6042      -125.5177      16.1686      
90        255        -0.6077      -125.5262      11.0282      
90        270        -0.6096      -125.5306      8.9894      
90        285        -0.6077      -125.5262      8.3936      
90        300        -0.6042      -125.5177      8.4929      
90        315        -0.603      -125.5142      8.9092      
90        330        -0.6062      -125.5198      9.5089      
90        345        -0.6113      -125.5299      10.334      
90        360        -0.6137      -125.5348      11.5603      
105        0        -0.8915      -125.5948      11.8089      
105        15        -0.889      -125.5898      68.5165      
105        30        -0.884      -125.5796      65.8347      
105        45        -0.8808      -125.5738      34.8051      
105        60        -0.8819      -125.5776      -89.1938      
105        75        -0.8854      -125.5863      -96.8667      
105        90        -0.8873      -125.5908      147.5331      
105        105        -0.8854      -125.5863      84.8626      
105        120        -0.8819      -125.5776      92.1231      
105        135        -0.8808      -125.5739      -148.5171      
105        150        -0.884      -125.5796      -114.4596      
105        165        -0.889      -125.5898      -111.1148      
105        180        -0.8915      -125.5948      155.0162      
105        195        -0.889      -125.5898      71.0024      
105        210        -0.884      -125.5796      67.1085      
105        225        -0.8808      -125.5738      35.2451      
105        240        -0.8819      -125.5776      -87.7875      
105        255        -0.8854      -125.5863      -93.9831      
105        270        -0.8873      -125.5908      9.1879      
105        285        -0.8854      -125.5863      79.5695      
105        300        -0.8819      -125.5776      85.41      
105        315        -0.8808      -125.5739      -138.2707      
