Frequency (GHz),Theta (°),Phi (°),Gain phi,Gain theta
0.08333,45.0000013,195.000002,2.94314963e-12,0.0114398673
0.08333,45.0000013,209.999999,7.93626189e-12,0.0114401076
0.08333,45.0000013,224.999996,9.07403146e-12,0.011440401
0.08333,45.0000013,240.000007,5.77798573e-12,0.0114406608
0.08333,45.0000013,255.000004,1.69706783e-12,0.0114408312
0.08333,45.0000013,270.000001,3.68216351e-27,0.0114408871
0.08333,45.0000013,284.999998,1.69706783e-12,0.0114408312
0.08333,45.0000013,299.999995,5.77798703e-12,0.0114406608
0.08333,45.0000013,314.999992,9.07403146e-12,0.011440401
0.08333,45.0000013,329.999989,7.93626536e-12,0.0114401076
0.08333,45.0000013,345.000013,2.94314421e-12,0.0114398673
0.08333,45.0000013,360.00001,6.09796439e-37,0.011439777
0.08333,60.0000017,0,3.48305849e-37,0.0172633883
0.08333,60.0000017,15.0000004,3.33436707e-12,0.0172634851
0.08333,60.0000017,30.0000008,8.73505782e-12,0.0172637459
0.08333,60.0000017,45.0000013,9.5540572e-12,0.0172640681
0.08333,60.0000017,60.0000017,5.7838504e-12,0.0172643512
0.08333,60.0000017,74.9999987,1.63048448e-12,0.0172645338
0.08333,60.0000017,90.0000025,4.67722441e-26,0.0172645971
0.08333,60.0000017,105,1.63048448e-12,0.0172645338
0.08333,60.0000017,120.000003,5.7838517e-12,0.0172643512
0.08333,60.0000017,135,9.5540572e-12,0.0172640681
0.08333,60.0000017,149.999997,8.73505782e-12,0.0172637459
0.08333,60.0000017,164.999994,3.33436902e-12,0.0172634851
0.08333,60.0000017,180.000005,4.27682222e-25,0.0172633883
0.08333,60.0000017,195.000002,3.3343675e-12,0.0172634851
0.08333,60.0000017,209.999999,8.73505608e-12,0.0172637459
0.08333,60.0000017,224.999996,9.55405807e-12,0.0172640681
0.08333,60.0000017,240.000007,5.78384909e-12,0.0172643512
0.08333,60.0000017,255.000004,1.6304834e-12,0.0172645338
0.08333,60.0000017,270.000001,3.48001135e-27,0.0172645971
0.08333,60.0000017,284.999998,1.63048416e-12,0.0172645338
0.08333,60.0000017,299.999995,5.7838504e-12,0.0172643512
0.08333,60.0000017,314.999992,9.5540572e-12,0.0172640681
0.08333,60.0000017,329.999989,8.73506042e-12,0.0172637459
0.08333,60.0000017,345.000013,3.33436165e-12,0.0172634851
0.08333,60.0000017,360.00001,3.48305849e-37,0.0172633883
0.08333,74.9999987,0,9.70029244e-39,0.0215698592
0.08333,74.9999987,15.0000004,2.55412206e-12,0.0215699263
0.08333,74.9999987,30.0000008,6.76605083e-12,0.0215700995
0.08333,74.9999987,45.0000013,7.52916132e-12,0.0215703398
0.08333,74.9999987,60.0000017,4.64915259e-12,0.0215705689
0.08333,74.9999987,74.9999987,1.33192068e-12,0.0215707272
0.08333,74.9999987,90.0000025,3.84460483e-26,0.0215707887
0.08333,74.9999987,105,1.33192068e-12,0.0215707272
0.08333,74.9999987,120.000003,4.64915389e-12,0.0215705689
0.08333,74.9999987,135,7.52916132e-12,0.0215703398
0.08333,74.9999987,149.999997,6.76605083e-12,0.0215700995
0.08333,74.9999987,164.999994,2.55412336e-12,0.0215699263
0.08333,74.9999987,180.000005,3.26369407e-25,0.0215698592
0.08333,74.9999987,195.000002,2.5541225e-12,0.0215699263
0.08333,74.9999987,209.999999,6.76605083e-12,0.0215700995
0.08333,74.9999987,224.999996,7.52916132e-12,0.0215703398
0.08333,74.9999987,240.000007,4.64915129e-12,0.0215705689
0.08333,74.9999987,255.000004,1.33192014e-12,0.0215707272
0.08333,74.9999987,270.000001,2.86151416e-27,0.0215707887
0.08333,74.9999987,284.999998,1.33192014e-12,0.0215707272
0.08333,74.9999987,299.999995,4.64915129e-12,0.0215705689
0.08333,74.9999987,314.999992,7.52916045e-12,0.0215703398
0.08333,74.9999987,329.999989,6.76605213e-12,0.0215700995
0.08333,74.9999987,345.000013,2.55411794e-12,0.0215699263
0.08333,74.9999987,360.00001,9.70029244e-39,0.0215698592
0.08333,90.0000025,0,1.17262214e-37,0.0231529735
0.08333,90.0000025,15.0000004,1.32229449e-12,0.0231529884
0.08333,90.0000025,30.0000008,3.75425298e-12,0.0231530573
0.08333,90.0000025,45.0000013,4.6311982e-12,0.0231531635
0.08333,90.0000025,60.0000017,3.20362096e-12,0.0231532846
0.08333,90.0000025,74.9999987,1.00438071e-12,0.0231533851
0.08333,90.0000025,90.0000025,3.00087218e-26,0.0231534224
0.08333,90.0000025,105,1.00438061e-12,0.0231533851
0.08333,90.0000025,120.000003,3.2036214e-12,0.0231532846
0.08333,90.0000025,135,4.6311982e-12,0.0231531635
0.08333,90.0000025,149.999997,3.75425298e-12,0.0231530573
0.08333,90.0000025,164.999994,1.32229535e-12,0.0231529884
